subnet,channelName,channelId,messageId,messageUrl,up,down,total,status,hype,scrapeStatus,auditedAt
ᚠ・reliquary・81,ᚠ・reliquary・81,1493247592551678012,1508073774853914624,https://discord.com/channels/799672011265015819/1493247592551678012/1508073774853914624,16,0,16,legit,0,target-verified,2026-05-24T22:13:15.870Z
ᚢ・compelle・82,ᚢ・compelle・82,1496611222945005660,1508073771905323009,https://discord.com/channels/799672011265015819/1496611222945005660/1508073771905323009,13,7,20,legit,0,target-verified,2026-05-24T22:13:21.612Z
ᚦ・cliqueai・83,ᚦ・cliqueai・83,1355560253076410428,1508073767148982382,https://discord.com/channels/799672011265015819/1355560253076410428/1508073767148982382,6,15,21,bunk,0,target-verified,2026-05-24T22:13:27.374Z
ᚨ・droid・84,ᚨ・droid・84,1499772113484124270,1508073761516290180,https://discord.com/channels/799672011265015819/1499772113484124270/1508073761516290180,0,21,21,bunk,0,target-verified,2026-05-24T22:13:32.392Z
ᚱ・vidaio・85,ᚱ・vidaio・85,1342559689690583202,1508073757577707550,https://discord.com/channels/799672011265015819/1342559689690583202/1508073757577707550,17,10,27,legit,0,target-verified,2026-05-24T22:13:39.577Z
ᚳ・unclaimed・86,ᚳ・unclaimed・86,1440729803698470993,1508073753630871612,https://discord.com/channels/799672011265015819/1440729803698470993/1508073753630871612,0,3,3,bunk,0,target-verified,2026-05-24T22:13:44.896Z
ы・luminar・87,ы・luminar・87,1409555541910355998,1508073748060700805,https://discord.com/channels/799672011265015819/1409555541910355998/1508073748060700805,8,3,11,legit,0,target-verified,2026-05-24T22:13:50.441Z
ᛇ・invesτing・88,ᛇ・invesτing・88,1358854051634221328,1508073743878983781,https://discord.com/channels/799672011265015819/1358854051634221328/1508073743878983781,13,0,13,legit,3,target-verified,2026-05-24T22:13:55.780Z
ᛒ・infiniτehash・89,ᛒ・infiniτehash・89,1359592408119120033,1508073740448305242,https://discord.com/channels/799672011265015819/1359592408119120033/1508073740448305242,3,1,4,legit,0,target-verified,2026-05-24T22:14:01.117Z
_・unclaimed・90,_・unclaimed・90,1448063556368076941,1508073734559498252,https://discord.com/channels/799672011265015819/1448063556368076941/1508073734559498252,2,2,4,tie,0,target-verified,2026-05-24T22:14:06.250Z
ᚁ・biτsτarτer-1・91,ᚁ・biτsτarτer-1・91,1479211355595866327,1508073730969178163,https://discord.com/channels/799672011265015819/1479211355595866327/1508073730969178163,0,3,3,bunk,0,target-verified,2026-05-24T22:14:11.963Z
ᚂ・τensorclaw・92,ᚂ・τensorclaw・92,1503377929269416028,1508073727533781002,https://discord.com/channels/799672011265015819/1503377929269416028/1508073727533781002,0,15,15,bunk,0,target-verified,2026-05-24T22:14:17.693Z
ᚃ・biτcasτ・93,ᚃ・biτcasτ・93,1362489640841380045,1508073721779326986,https://discord.com/channels/799672011265015819/1362489640841380045/1508073721779326986,17,1,18,legit,0,target-verified,2026-05-24T22:14:28.843Z
ᚄ・biτsoτa・94,ᚄ・biτsoτa・94,1443001560635281581,1508073719015276564,https://discord.com/channels/799672011265015819/1443001560635281581/1508073719015276564,0,7,7,bunk,0,target-verified,2026-05-24T22:14:33.996Z
ᚅ・actual・95,ᚅ・actual・95,1364253568961609859,1508073713701228745,https://discord.com/channels/799672011265015819/1364253568961609859/1508073713701228745,12,3,15,legit,0,target-verified,2026-05-24T22:14:40.508Z
᚛・veraτhos・96,᚛・veraτhos・96,1480627157406584945,1508073709494079630,https://discord.com/channels/799672011265015819/1480627157406584945/1508073709494079630,6,0,6,legit,0,target-verified,2026-05-24T22:14:45.451Z
ა・distil・97,ა・distil・97,1482026267392868583,1508073704230223953,https://discord.com/channels/799672011265015819/1482026267392868583/1508073704230223953,29,3,32,legit,0,target-verified,2026-05-24T22:14:50.515Z
ბ・forevermoney・98,ბ・forevermoney・98,1366426973781364816,1508073697154695259,https://discord.com/channels/799672011265015819/1366426973781364816/1508073697154695259,3,6,9,bunk,0,target-verified,2026-05-24T22:14:56.034Z
გ・leoma・99,გ・leoma・99,1465791819756339261,1508073693321105418,https://discord.com/channels/799672011265015819/1465791819756339261/1508073693321105418,9,7,16,legit,0,target-verified,2026-05-24T22:15:01.805Z
დ・plaτform・100,დ・plaτform・100,1429935142847381617,1508073689239781467,https://discord.com/channels/799672011265015819/1429935142847381617/1508073689239781467,28,0,28,legit,0,target-verified,2026-05-24T22:15:06.881Z
ე・unclaimed・101,ე・unclaimed・101,1368946065738436749,1508073683426607114,https://discord.com/channels/799672011265015819/1368946065738436749/1508073683426607114,1,3,4,bunk,0,target-verified,2026-05-24T22:19:37.794Z
ვ・connito-ai・102,ვ・connito-ai・102,1488167959565308004,1508073678628327545,https://discord.com/channels/799672011265015819/1488167959565308004/1508073678628327545,19,4,23,legit,2,target-verified,2026-05-24T22:15:18.475Z
ա・djinn・103,ա・djinn・103,1465362098971345010,1508073674551460001,https://discord.com/channels/799672011265015819/1465362098971345010/1508073674551460001,16,7,23,legit,1,target-verified,2026-05-24T22:15:23.885Z
բ・sovereign・104,բ・sovereign・104,1370430761408139404,1508073669467832530,https://discord.com/channels/799672011265015819/1370430761408139404/1508073669467832530,1,16,17,bunk,0,target-verified,2026-05-24T22:15:29.289Z
գ・beam・105,գ・beam・105,1437473346026475702,1508073665282052308,https://discord.com/channels/799672011265015819/1437473346026475702/1508073665282052308,39,1,40,legit,7,target-verified,2026-05-24T22:15:40.890Z
դ・voidai・106,դ・voidai・106,1371902705605546075,1508073660659929219,https://discord.com/channels/799672011265015819/1371902705605546075/1508073660659929219,7,2,9,legit,0,target-verified,2026-05-24T22:15:47.888Z
ミ・minos・107,ミ・minos・107,1467949024769478793,1508073654754344971,https://discord.com/channels/799672011265015819/1467949024769478793/1508073654754344971,11,3,14,legit,0,target-verified,2026-05-24T22:19:43.475Z
զ・talkhead・108,զ・talkhead・108,1450185343205904565,1508073648945106945,https://discord.com/channels/799672011265015819/1450185343205904565/1508073648945106945,6,13,19,bunk,0,target-verified,2026-05-24T22:15:57.730Z
ى・academia・109,ى・academia・109,1455931857873928316,1508073645589659805,https://discord.com/channels/799672011265015819/1455931857873928316/1508073645589659805,7,2,9,legit,1,target-verified,2026-05-24T22:16:03.306Z
ѐ・greencompute・110,ѐ・greencompute・110,1465358502628163759,1508073640606957720,https://discord.com/channels/799672011265015819/1465358502628163759/1508073640606957720,4,10,14,bunk,0,target-verified,2026-05-24T22:16:08.402Z
ё・oneoneone・111,ё・oneoneone・111,1375215258678857728,1508073635074539620,https://discord.com/channels/799672011265015819/1375215258678857728/1508073635074539620,7,3,10,legit,0,target-verified,2026-05-24T22:16:13.737Z
ђ・minoτaur・112,ђ・minoτaur・112,1376603375113863178,1508073630171660350,https://discord.com/channels/799672011265015819/1376603375113863178/1508073630171660350,0,0,0,no-votes,0,target-verified,2026-05-24T22:19:48.800Z
ѓ・tensorusd・113,ѓ・tensorusd・113,1450910875790872700,1508073626249859172,https://discord.com/channels/799672011265015819/1450910875790872700/1508073626249859172,15,2,17,legit,1,target-verified,2026-05-24T22:19:55.767Z
є・soma・114,є・soma・114,1460644425813328004,1508073622089240667,https://discord.com/channels/799672011265015819/1460644425813328004/1508073622089240667,9,3,12,legit,0,target-verified,2026-05-24T22:16:29.898Z
ѕ・soulx・115,ѕ・soulx・115,1379143301478744064,1508073617492152340,https://discord.com/channels/799672011265015819/1379143301478744064/1508073617492152340,0,4,4,bunk,0,target-verified,2026-05-24T22:16:35.699Z
