"subnet","channelId","messageId","up","down","total","status","messageUrl"
"ᚄ・biτsoτa・94","1443001560635281581","1508073719015276564","0","5","5","target-verified","https://discord.com/channels/799672011265015819/1443001560635281581/1508073719015276564"
"ᚅ・actual・95","1364253568961609859","1508073713701228745","10","3","13","target-verified","https://discord.com/channels/799672011265015819/1364253568961609859/1508073713701228745"
"᚛・veraτhos・96","1480627157406584945","1508073709494079630","6","0","6","verified","https://discord.com/channels/799672011265015819/1480627157406584945/1508073709494079630"
"ა・distil・97","1482026267392868583","1508073704230223953","29","2","31","ok","https://discord.com/channels/799672011265015819/1482026267392868583/1508073704230223953"
"ბ・forevermoney・98","1366426973781364816","1508073697154695259","2","2","4","ok","https://discord.com/channels/799672011265015819/1366426973781364816/1508073697154695259"
"გ・leoma・99","1465791819756339261","1508073693321105418","8","2","10","target-verified","https://discord.com/channels/799672011265015819/1465791819756339261/1508073693321105418"
"დ・plaτform・100","1429935142847381617","1508073689239781467","11","0","11","ok","https://discord.com/channels/799672011265015819/1429935142847381617/1508073689239781467"
"ე・unclaimed・101","1368946065738436749","1508073683426607114","0","1","1","target-verified","https://discord.com/channels/799672011265015819/1368946065738436749/1508073683426607114"
"ვ・connito-ai・102","1488167959565308004","1508073678628327545","12","2","14","ok","https://discord.com/channels/799672011265015819/1488167959565308004/1508073678628327545"
"ա・djinn・103","1465362098971345010","1508073674551460001","10","1","11","target-verified","https://discord.com/channels/799672011265015819/1465362098971345010/1508073674551460001"
"բ・sovereign・104","1370430761408139404","1508073669467832530","1","5","6","ok","https://discord.com/channels/799672011265015819/1370430761408139404/1508073669467832530"
"գ・beam・105","1437473346026475702","1508073665282052308","27","0","27","ok","https://discord.com/channels/799672011265015819/1437473346026475702/1508073665282052308"
"դ・voidai・106","1371902705605546075","1508073660659929219","3","0","3","ok","https://discord.com/channels/799672011265015819/1371902705605546075/1508073660659929219"
"ミ・minos・107","1467949024769478793","1508073654754344971","3","2","5","ok","https://discord.com/channels/799672011265015819/1467949024769478793/1508073654754344971"
"զ・talkhead・108","1450185343205904565","1508073648945106945","3","9","12","target-verified","https://discord.com/channels/799672011265015819/1450185343205904565/1508073648945106945"
"ى・academia・109","1455931857873928316","1508073645589659805","1","1","2","verified","https://discord.com/channels/799672011265015819/1455931857873928316/1508073645589659805"
"ѐ・greencompute・110","1465358502628163759","1508073640606957720","3","9","12","verified","https://discord.com/channels/799672011265015819/1465358502628163759/1508073640606957720"
"ё・oneoneone・111","1375215258678857728","1508073635074539620","1","2","3","target-verified","https://discord.com/channels/799672011265015819/1375215258678857728/1508073635074539620"
"ђ・minoτaur・112","1376603375113863178","1508073630171660350","0","0","0","target-verified","https://discord.com/channels/799672011265015819/1376603375113863178/1508073630171660350"
"ѓ・tensorusd・113","1450910875790872700","1508073626249859172","14","1","15","verified","https://discord.com/channels/799672011265015819/1450910875790872700/1508073626249859172"
"є・soma・114","1460644425813328004","1508073622089240667","4","1","5","ok","https://discord.com/channels/799672011265015819/1460644425813328004/1508073622089240667"
"ѕ・soulx・115","1379143301478744064","1508073617492152340","0","2","2","verified","https://discord.com/channels/799672011265015819/1379143301478744064/1508073617492152340"
"ъ・τaolend・116","1379496997752410172","1508073613188661268","2","3","5","ok","https://discord.com/channels/799672011265015819/1379496997752410172/1508073613188661268"
"ⲁ・unclaimed・117","1499147039924031508","1508073607790854154","2","1","3","ok","https://discord.com/channels/799672011265015819/1499147039924031508/1508073607790854154"
"ⲁ・ditto・118","1499448472246419608","1508073603982426214","12","1","13","ok","https://discord.com/channels/799672011265015819/1499448472246419608/1508073603982426214"
"ⲃ・saτori・119","1381660350818029578","1508073599666225203","0","1","1","ok","https://discord.com/channels/799672011265015819/1381660350818029578/1508073599666225203"
"ⴷ・ⴷffine・120","1381987595881414656","1508073595434434600","25","3","28","target-verified","https://discord.com/channels/799672011265015819/1381987595881414656/1508073595434434600"
"ⲅ・sundae-bar・121","1382818027241738352","1508073590967505007","8","1","9","target-verified","https://discord.com/channels/799672011265015819/1382818027241738352/1508073590967505007"
"ⲅ・unclaimed・122","1507378701111656568","1508073586932580382","13","2","15","verified","https://discord.com/channels/799672011265015819/1507378701111656568/1508073586932580382"
"𑀀・mantis・123","1384252267770806293","1508073582419247224","4","4","8","ok","https://discord.com/channels/799672011265015819/1384252267770806293/1508073582419247224"
"𑀁・swarm・124","1385341501130801172","1508073577100869654","10","5","15","target-verified","https://discord.com/channels/799672011265015819/1385341501130801172/1508073577100869654"
"𑀂・flyspeck・125","1386721054906646549","1508073572000858112","0","7","7","ok","https://discord.com/channels/799672011265015819/1386721054906646549/1508073572000858112"
"𑀃・poker44・126","1386721120652361800","1508073567462490253","3","4","7","ok","https://discord.com/channels/799672011265015819/1386721120652361800/1508073567462490253"
"𑀅・asτrid・127","1387151679266230323","1508073563079577781","3","7","10","verified","https://discord.com/channels/799672011265015819/1387151679266230323/1508073563079577781"
"න・byteleap・128","1387438124132733110","1508073533232644206","0","1","1","verified","https://discord.com/channels/799672011265015819/1387438124132733110/1508073533232644206"
