subnet,channelName,channelId,messageId,messageUrl,up,down,total,scrapeStatus
غ・nexisgen・70,غ・nexisgen・70,1485641858829779015,1508073824594427954,https://discord.com/channels/799672011265015819/1485641858829779015/1508073824594427954,9,2,11,verified
ف・leadpoeτ・71,ف・leadpoeτ・71,1349121405903573114,1508073820898988104,https://discord.com/channels/799672011265015819/1349121405903573114/1508073820898988104,10,2,12,verified
ق・sτreeτvision・72,ق・sτreeτvision・72,1349122541754515538,1508073815207317504,https://discord.com/channels/799672011265015819/1349122541754515538/1508073815207317504,5,1,6,verified
ك・parked・73,ك・parked・73,1498317342890004601,1508073811033985126,https://discord.com/channels/799672011265015819/1498317342890004601/1508073811033985126,4,1,5,verified
ل・giττensor・74,ل・giττensor・74,1349123574820245534,1508073807888384040,https://discord.com/channels/799672011265015819/1349123574820245534/1508073807888384040,23,4,27,verified
م・hippius・75,م・hippius・75,1349124437752152075,1508073803702603806,https://discord.com/channels/799672011265015819/1349124437752152075/1508073803702603806,0,0,0,verified
ن・byzantium・76,ن・byzantium・76,1474042162877300776,1508073797637640283,https://discord.com/channels/799672011265015819/1474042162877300776/1508073797637640283,1,5,6,verified
ه・liquidity・77,ه・liquidity・77,1351180132295118848,1508073794001047552,https://discord.com/channels/799672011265015819/1351180132295118848/1508073794001047552,3,1,4,verified
و・vocence・78,و・vocence・78,1493995769601065061,1508073788003188908,https://discord.com/channels/799672011265015819/1493995769601065061/1508073788003188908,10,2,12,verified
ي・m∧τrx・79,ي・m∧τrx・79,1353733356470276096,1508073783934582834,https://discord.com/channels/799672011265015819/1353733356470276096/1508073783934582834,15,9,24,verified
՞・dogelayer・80,՞・dogelayer・80,1441450194330718300,1508073780163907705,https://discord.com/channels/799672011265015819/1441450194330718300/1508073780163907705,4,15,19,verified
ᚠ・reliquary・81,ᚠ・reliquary・81,1493247592551678012,1508073774853914624,https://discord.com/channels/799672011265015819/1493247592551678012/1508073774853914624,0,0,0,verified
ᚢ・compelle・82,ᚢ・compelle・82,1496611222945005660,1508073771905323009,https://discord.com/channels/799672011265015819/1496611222945005660/1508073771905323009,0,0,0,verified
ᚦ・cliqueai・83,ᚦ・cliqueai・83,1355560253076410428,1508073767148982382,https://discord.com/channels/799672011265015819/1355560253076410428/1508073767148982382,6,13,19,verified
ᚨ・droid・84,ᚨ・droid・84,1499772113484124270,1508073761516290180,https://discord.com/channels/799672011265015819/1499772113484124270/1508073761516290180,0,17,17,verified
ᚱ・vidaio・85,ᚱ・vidaio・85,1342559689690583202,1508073757577707550,https://discord.com/channels/799672011265015819/1342559689690583202/1508073757577707550,10,10,20,verified
ᚳ・unclaimed・86,ᚳ・unclaimed・86,1440729803698470993,1508073753630871612,https://discord.com/channels/799672011265015819/1440729803698470993/1508073753630871612,0,2,2,verified
ы・luminar・87,ы・luminar・87,1409555541910355998,1508073748060700805,https://discord.com/channels/799672011265015819/1409555541910355998/1508073748060700805,8,3,11,verified
ᛇ・invesτing・88,ᛇ・invesτing・88,1358854051634221328,1508073743878983781,https://discord.com/channels/799672011265015819/1358854051634221328/1508073743878983781,12,0,12,verified
ᛒ・infiniτehash・89,ᛒ・infiniτehash・89,1359592408119120033,1508073740448305242,https://discord.com/channels/799672011265015819/1359592408119120033/1508073740448305242,3,0,3,verified
_・unclaimed・90,_・unclaimed・90,1448063556368076941,1508073734559498252,https://discord.com/channels/799672011265015819/1448063556368076941/1508073734559498252,2,0,2,verified
ᚁ・biτsτarτer-1・91,ᚁ・biτsτarτer-1・91,1479211355595866327,1508073730969178163,https://discord.com/channels/799672011265015819/1479211355595866327/1508073730969178163,0,0,0,verified
ᚂ・τensorclaw・92,ᚂ・τensorclaw・92,1503377929269416028,1508073727533781002,https://discord.com/channels/799672011265015819/1503377929269416028/1508073727533781002,0,0,0,verified
ᚃ・biτcasτ・93,ᚃ・biτcasτ・93,1362489640841380045,1508073721779326986,https://discord.com/channels/799672011265015819/1362489640841380045/1508073721779326986,13,0,13,verified
ᚄ・biτsoτa・94,ᚄ・biτsoτa・94,1443001560635281581,1508073719015276564,https://discord.com/channels/799672011265015819/1443001560635281581/1508073719015276564,0,5,5,verified
ᚅ・actual・95,ᚅ・actual・95,1364253568961609859,1508073713701228745,https://discord.com/channels/799672011265015819/1364253568961609859/1508073713701228745,0,0,0,verified
