netuid,name,symbol,taoFlow,taoFlowBlock,burnEmissionPct,ownerEmission,totalNeuronEmission,subnetEmission,subnetEmissionPct,burnCost,taoIn,alphaIn,alphaOut,movingPrice,subnetVolume
46,Zipcode,ץ,477.837399885,8258985,100.0,,5513645.0,0.036712484204,3.671248,0.1,14257.449933767,1263896.458244382,2934069.936325179,0.011028879,2231.881810334
47,EvolAI,צ,101.668109559,8258985,95.677119,,2705637.0,0.005849236097,0.584924,0.05,1485.026758914,274421.984433479,493243.212263839,0.005411236,219.849264579
48,Quantum Compute,ק,205.194146989,8258985,0.0,,0.0,0.0,0.0,0.0005,11751.955329635,2175425.047960073,2086070.849236858,0.005431303,363.17406632
49,Nepher Robotics,ר,9.622584637,8258985,100.0,,2014810.0,0.004029621651,0.402962,0.0005,2259.51225591,432476.122390255,823104.830662503,0.005110433,95.812138574
50,Synth,ש,-313.612885807,8258985,52.285039,,0.0,0.0,0.0,0.8,13191.925347665,1801493.866810182,2725523.628346102,0.00736389,998.525991107
51,lium.io,ת,-109.527670334,8258985,45.067521,,0.0,0.0,0.0,0.5,115882.646312184,2215349.15645254,1760984.384252228,0.052316059,1094.047887949
52,Dojo,ا,-256.981714883,8258985,100.0,,0.0,0.0,0.0,0.999999999,19175.096120589,2646771.763572409,1643051.782033079,0.007244802,42.671975516
53,EfficientFrontier,ب,-145.892002245,8258985,100.0,,0.0,0.0,0.0,0.0005,13949.857954206,2668832.812164621,2103677.134630633,0.005224921,213.781847835
54,Yanez MIID,ت,-81.751866463,8258985,65.236896,,0.0,0.0,0.0,0.0005,9182.346467555,1634874.617656497,2942513.579194889,0.005603318,320.039710438
55,NIOME,ث,408.953478515,8258985,2.258335,,3070540.0,0.01914107284,1.914107,0.0005,9627.094167972,1565604.302299271,2787959.43714948,0.006141194,1477.630448447
56,Gradients,ج,-306.013620344,8258985,83.480583,,0.0,0.0,0.0,0.0005,56905.716055226,2738555.996629315,1762346.108557386,0.020809203,519.536365118
57,Unknown,ح,-30.080428565,8258985,100.0,,3518055.0,0.0070361115,0.703611,0.0005,1476.583092694,198236.326947609,240809.592457048,0.007448278,101.423643522
58,Pending,خ,-614.913356699,8258985,100.0,,0.0,0.0,0.0,0.0005,7045.566401116,2008400.809168627,1942153.565065086,0.003516213,111.065857857
59,Babelbit,د,-226.521626665,8258985,100.0,,0.0,0.0,0.0,0.0005,7027.593014229,1765504.889877461,2989539.038250388,0.003972143,706.934893714
60,Bitsec.ai,ذ,-117.513823795,8258985,70.952926,,0.0,0.0,0.0,0.0005,6666.360029071,1706652.760118109,2621354.112336997,0.003923326,249.236373812
61,RedTeam,ر,-174.674024308,8258985,80.032044,,0.0,0.0,0.0,0.0005,7738.140954337,1951175.024701602,2553271.970180306,0.003968228,188.343505661
62,Ridges,ز,708.927714048,8258985,100.0,,0.0,0.0,0.0,0.0005,37367.906393032,2150756.052257207,2496964.144069107,0.017613955,1795.950589967
63,Enigma,س,26.670780772,8258985,0.0,,2213175.0,0.004426351066,0.442635,0.0005,15499.185905567,1695690.309181707,2635280.365670461,0.009214325,710.233263534
64,Chutes,ش,-4759.591862918,8258985,0.0,,0.0,0.0,0.0,0.0005,192467.662832969,2818341.708294028,2262727.598998397,0.068328568,2389.14488175
65,TAO Private Network,ص,-54.72867659,8258985,80.155642,,0.0,0.0,0.0,0.0005,7388.084778304,1976146.980024188,2383038.119923616,0.003738702,99.162483386
66,ninja,ض,177.233844954,8258985,0.0,,0.0,0.0,0.0,0.232030508,12704.64889312,1115702.300116497,3110646.314954098,0.011118745,3215.457235097
67,Harnyx,ط,-251.838657471,8258985,100.0,,5234445.0,0.011379881021,1.137988,0.0005,1771.592415391,169225.503082418,230674.903044381,0.010468697,803.10484533
68,NOVA,ظ,819.400554287,8258985,64.98018,,12691469.0,0.074679712071,7.467971,0.020195386,45163.345475671,1778765.536170564,2510563.939805472,0.025383311,1294.658747303
69,Unknown,ع,-328.486812429,8258985,100.0,,6423513.0,0.013412104827,1.34121,0.0005,4560.251713972,354963.616116884,573194.309114831,0.012846929,230.486945609
70,NexisGen,غ,10.495235836,8258985,0.0,,3011915.0,0.006912628655,0.691263,0.9,1191.46483305,197786.466002256,285997.034981602,0.006023766,225.199424779
71,Leadpoet,ㄴ,465.833189306,8258985,79.649042,,0.0,0.0,0.0,0.0005,6013.952326281,978408.060063211,3201395.622787379,0.006095234,721.544088887
72,StreetVision by NATIX,ق,52.49203566,8258985,100.0,,0.0,0.0,0.0,0.0005,7990.290120183,2250997.792972014,2191491.552014208,0.003550442,175.386408382
73,Parked,ك,72.623780528,8258985,100.0,,0.0,0.0,0.0,0.0005,7774.510693803,1943580.7429823,1681840.679739952,0.004012773,450.191665203
74,Gittensor,ل,245.26216981,8258985,63.923095,,0.0,0.0,0.0,0.15,6885.400934063,1491151.518379677,2502326.402771075,0.004612018,1241.816008065
75,Hippius,م,-592.501856293,8258985,98.126192,,0.0,0.0,0.0,0.1,36353.932463723,1664599.773058689,2500396.552280552,0.021810513,729.860196543
76,Byzantium,ن,-30.69720136,8258985,100.0,,3169591.0,0.0067289046,0.67289,0.5,1522.692935786,240202.139831588,361938.300650004,0.006339095,986.768026978
77,Liquidity,ه,-217.320819469,8258985,0.0,,2447746.0,0.004909599302,0.49096,0.0005,10710.083731772,2188161.592310784,2297074.636387419,0.00489549,366.270728897
78,Vocence,و,111.705312722,8258985,0.0,,5105177.0,0.013001775665,1.300178,0.0005,955.109356491,93546.847697636,235875.454778891,0.010210027,605.62822429
79,MVTRX,ي,-970.667076722,8258985,79.903868,,0.0,0.0,0.0,0.005115211,11368.289251611,1130425.819615137,2838340.455339486,0.010014533,1661.138778306
80,dogelayer,ى,48.481685266,8258985,0.0,,1355927.0,0.002711855554,0.271186,0.0005,1271.41241511,371752.863912367,966407.295114704,0.003421172,61.85202891
81,deprecated,ᚠ,185.93418949,8258985,0.267033,,0.0,0.0,0.0,0.0005,20174.07357762,2418988.405472766,1286602.46322878,0.008345212,261.27748167
82,Compelle,ᚢ,-39.778632573,8258985,0.0,,5068747.0,0.012222673344,1.222267,18.715874431,730.533513234,72063.365583516,160504.377764665,0.010137109,174.285876001
83,CliqueAI,ᚦ,45.008791914,8258985,0.0,,2813480.0,0.005626960828,0.562696,0.167732672,6306.529320949,947934.200640562,1605717.60393627,0.006647425,201.638101557
84,Unknown,ᚨ,318.677659343,8258985,0.0,,8949972.0,0.026272238512,2.627224,0.001,3065.333199728,171247.706095385,375770.628669381,0.017900569,1883.160947971
85,Vidaio,ᚱ,-34.059234339,8258985,80.534066,,0.0,0.0,0.0,0.0005,16813.318488608,1741582.835177026,2219467.233735399,0.009649217,1932.469404142
86,,ᚳ,-99.105843567,8258985,100.0,,0.0,0.0,0.0,0.0005,2269.65144018,575190.548863625,705414.893405934,0.003946183,120.621106437
87,Luminar Network,Ы,-4.617278402,8258985,100.0,,1668521.0,0.003337043936,0.333704,0.001,1383.418817648,343204.610363059,551871.488482048,0.004032218,284.45004563
88,Investing,ᛉ,-136.105365743,8258985,60.0,,0.0,0.0,0.0,0.12383539,6903.80536646,1668992.526456087,2594264.582821529,0.004132389,1153.655321154
89,InfiniteHash,ᛒ,11.423806419,8258985,98.226902,,0.0,0.0,0.0,0.0005,6481.891051481,1823978.82120396,1788743.674208966,0.003672344,44.860989573
90,Unknown, ,-149.143567563,8258985,100.0,,1275701.0,0.002551402929,0.25514,0.0005,2256.284689266,497335.635163291,628388.265770759,0.00453748,242.411599231
91,Bitstarter #1,ᚁ,-320.222923428,8258985,100.0,,5506899.0,0.011013799456,1.10138,0.0005,2589.123926656,214571.923762614,283351.686342413,0.012066549,710.409976138
92,TensorClaw,ᚂ,-228.493450289,8258985,0.0,,0.0,0.0,0.0,0.05,1791.702147632,500198.946555725,661983.816721249,0.003582317,609.707950521
93,Bitcast,ᚃ,-356.069245184,8258985,84.646372,,0.0,0.0,0.0,0.005,18900.791559663,1414321.23959324,1912913.155264772,0.013375115,564.156386724
94,Bitsota,ᚄ,-64.025264097,8258985,100.0,,468228.0,0.00093645629,0.093646,0.0005,1979.235425901,515923.432673972,599422.33662461,0.003837677,128.781025244
95,Unknown,ᚅ,2044.895690333,8258985,100.0,,16865333.0,0.047866335956,4.786634,0.0005,21628.272154002,639944.890415005,1374180.040543731,0.033730883,942.67359121
96,Verathos,᚛,48.047991601,8258985,85.339132,,5231976.0,0.013952725907,1.395273,0.1,746.313252339,71340.945062182,116746.380253035,0.010461074,79.437030901
97,distil,ა,-57.916590499,8258985,100.0,,13393621.0,0.026787243521,2.678724,0.639425759,5653.654973515,200137.988131342,411598.502344298,0.028244159,2677.258646076
98,ForeverMoney,ბ,-41.454598135,8258985,100.0,,0.0,0.0,0.0,0.0005,6165.963748763,1549654.847789983,1414565.808684686,0.003980661,143.67451567
99,Leoma,გ,-30.930320625,8258985,0.0,,2197055.0,0.004394111457,0.439411,0.05,1468.932438965,283773.473216434,611283.473141192,0.005177687,433.057725352
100,Plaτform,დ,115.202861935,8258985,100.0,,5836696.0,0.012215633227,1.221563,0.0005,3742.328814932,320073.466270947,911427.126305133,0.011697545,516.543887507
101,Unknown,ე,-186.039347555,8258985,100.0,,321397.0,0.000642795187,0.06428,0.0005,3450.496462066,856256.258991745,1029561.536151459,0.004031267,368.149648047
102,ConnitoAI,ვ,34.333545663,8258985,5.551232,,8004672.0,0.019837298525,1.98373,0.023416836,2244.002169398,140169.267416502,286642.498949494,0.016008964,738.927952849
103,Djinn,Ա,-155.840465415,8258985,80.698863,,0.0,0.0,0.0,0.1,4860.593224679,966181.986202852,1889784.567258789,0.004499366,836.617257618
104,for sale (burn to uid1),Բ,54.717837744,8258985,0.0,,2649669.0,0.010598456974,1.059846,0.999999999,6667.800870341,1184806.609489384,2494042.893919723,0.005299397,10425.252442014
105,Beam,Գ,108.078047439,8258985,100.0,,0.0,0.0,0.0,0.016662492,3995.180472564,471031.103321787,1000563.388928544,0.008472943,1460.297503469
106,VoidAI,Դ,81.342245512,8258985,100.0,,0.0,0.0,0.0,0.0005,7652.123623688,1843220.094751069,1470630.115417509,0.004167544,700.829200834
107,Minos,ミ,133.608654544,8258985,90.728618,,9480508.0,0.020931967852,2.093197,0.15,4392.190431811,231610.763780268,430580.765601761,0.018960848,448.244821616
108,TalkHead,Զ,-66.139677895,8258985,0.0,,1215120.0,0.002430241098,0.243024,0.5,2195.395259898,517214.813214248,658763.155573868,0.004244845,146.385098198
109,Academia,՞,-9.707375344,8258985,100.0,,1694375.0,0.003388751774,0.338875,0.0005,1400.365880013,324848.518940052,522823.227292348,0.004311223,294.108108206
